phase,gameId,year,goals,team,opponent,home,fifaRankDiff,avgTvDiff,valueDiff,avgAgeDiff,gdpPcDiff ,playersAbroadDiff,coachFromCountry,topTenClubsDiff
,1,2004,1,Portugal,Greece,1,-16,29.76,778.25,-1.7,-2285.29769878263,-1,0,10
,1,2004,2,Greece,Portugal,0,16,-29.76,-778.25,1.7,2285.29769878263,1,0,-10
,2,2004,1,Spain,Russia,0,-26,28.92,694.4,-0.300000000000001,18940.0027741316,-2,1,15
,2,2004,0,Russia,Spain,0,26,-28.92,-694.4,0.300000000000001,-18940.0027741316,2,1,-15
,3,2004,2,France,England,0,-8,-1.70999999999999,-90,2.1,-7201.87712554618,13,1,-2
,3,2004,1,England,France,0,8,1.70999999999999,90,-2.1,7201.87712554618,-13,0,2
,4,2004,0,Switzerland,Croatia,0,23,-3.96,-108.1,-0.799999999999997,62634.1486044265,-9,1,0
,4,2004,0,Croatia,Switzerland,0,-23,3.96,108.1,0.799999999999997,-62634.1486044265,9,1,0
,5,2004,0,Denmark,Italy,0,3,-6.48,-273.5,-1.4,16702.6061851777,20,1,0
,5,2004,0,Italy,Denmark,0,-3,6.48,273.5,1.4,-16702.6061851777,-20,1,0
,6,2004,5,Sweden,Bulgaria,0,-17,0.42,17.92,-0.0999999999999979,38671.6399453912,7,1,1
,6,2004,0,Bulgaria,Sweden,0,17,-0.42,-17.92,0.0999999999999979,-38671.6399453912,-7,1,-1
,7,2004,2,CzechRepublic,Latvia,0,-43,5.868,121.3,-0.699999999999999,4836.83170363505,7,1,2
,7,2004,1,Latvia,CzechRepublic,0,43,-5.868,-121.3,0.699999999999999,-4836.83170363505,-7,1,-2
,8,2004,1,Germany,Netherlands,0,2,-0.370000000000001,-174.5,-1.2,-6165.45815460211,-14,1,-3
,8,2004,1,Netherlands,Germany,0,-2,0.370000000000001,174.5,1.2,6165.45815460211,14,1,3
,9,2004,1,Greece,Spain,0,30,-31,-739.45,1.8,-4205.71495099091,7,0,-16
,9,2004,1,Spain,Greece,0,-30,31,739.45,-1.8,4205.71495099091,-7,1,16
,10,2004,2,Portugal,Russia,1,-12,27.68,733.2,-0.199999999999999,12448.9901243581,4,0,9
,10,2004,0,Russia,Portugal,0,12,-27.68,-733.2,0.199999999999999,-12448.9901243581,-4,1,-9
,11,2004,2,Croatia,France,0,22,-35.16,-732.3,0,-23562.8590339522,6,1,-8
,11,2004,2,France,Croatia,0,-22,35.16,732.3,0,23562.8590339522,-6,1,8
,12,2004,3,England,Switzerland,0,-37,40.83,930.4,-1.3,-31869.412444928,-10,0,10
,12,2004,0,Switzerland,England,0,37,-40.83,-930.4,1.3,31869.412444928,10,1,-10
,13,2004,0,Bulgaria,Denmark,0,24,-13.97,-301.87,-0.699999999999999,-45076.7107410618,-8,1,-3
,13,2004,2,Denmark,Bulgaria,0,-24,13.97,301.87,0.699999999999999,45076.7107410618,8,1,3
,14,2004,1,Italy,Sweden,0,-10,20.03,557.45,2.2,-10297.5353895071,-19,1,2
,14,2004,1,Sweden,Italy,0,10,-20.03,-557.45,-2.2,10297.5353895071,19,1,-2
,15,2004,0,Latvia,Germany,0,45,-26.858,-643.8,0.5,-26028.3961544745,8,1,-6
,15,2004,0,Germany,Latvia,0,-45,26.858,643.8,-0.5,26028.3961544745,-8,1,6
,16,2004,2,Netherlands,CzechRepublic,0,-4,21.36,697,1.4,27357.0226054416,-1,1,7
,16,2004,3,CzechRepublic,Netherlands,0,4,-21.36,-697,-1.4,-27357.0226054416,1,1,-7
